Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,InZone%,InZoneMdl%,Swing%,Miss%,Chase%,CallStrk%,SwStrk%,CompLoc%,NonCompLoc%
623,1311049472,A. Anderson,Aric Anderson,Anderson,Aric,C,Rice University,RICE,2352,Rice,BBC,L,R,23,636,2398,39.5%,43.1%,40.8%,24.4%,25.4%,31.2%,9.9%,74.6%,25.4%
624,1153321216,G. Sawa,Grant Sawa,Sawa,Grant,C,Fort Wayne,PFW,730231552,Fort Wayne,BBC,R,R,29,1025,4024,44.1%,43.1%,38.4%,19.7%,20.4%,28.2%,7.6%,74.5%,25.5%
625,1289058129,J. Liera,Jesus Liera,Liera,Jesus,C,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,16,275,1098,40.8%,43.0%,41.7%,26.9%,25.2%,31.1%,11.2%,71.6%,28.4%
626,1162117120,J. Cilea,Joe Cilea,Cilea,Joe,C,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,39,1265,4497,52.8%,43.0%,41.9%,17.7%,16.2%,30.9%,7.4%,75.4%,24.6%
627,1142668800,I. Escobar,Irvin Escobar,Escobar,Irvin,C,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,43,1426,5271,54.1%,43.0%,44.7%,25.7%,17.5%,32.0%,11.5%,77.0%,23.0%
628,1080840832,A. Paradine,Aidan Paradine,Paradine,Aidan,C,Siena College,SIE,730382592,Siena,BBC,R,R,40,1614,5639,49.9%,43.0%,41.5%,18.7%,18.5%,29.3%,7.8%,76.5%,23.5%
629,1330743296,A. Nevils,Alex Nevils,Nevils,Alex,C,Indiana State University,INST,730350080,Indiana State,BBC,R,R,13,335,1203,39.5%,42.8%,40.6%,19.5%,21.2%,25.2%,7.9%,76.1%,23.9%
630,1601342214,R. Wegrzyn,Robert Wegrzyn,Wegrzyn,Robert,C,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,11,359,1231,44.9%,42.8%,40.2%,22.4%,18.6%,25.5%,9.0%,74.2%,25.8%
631,1135883264,S. Gell,Scott Gell,Gell,Scott,C,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,15,424,1669,52.2%,42.8%,40.0%,23.8%,16.2%,30.0%,9.5%,76.0%,24.0%
632,1271046400,J. Gibson,Jayden Gibson,Gibson,Jayden,C,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,11,408,1551,45.8%,42.8%,41.5%,24.7%,19.7%,26.4%,10.3%,74.3%,25.7%
633,1310862080,G. Adams,Gage Adams,Adams,Gage,C,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,14,479,1946,41.1%,42.7%,39.8%,24.5%,22.9%,30.5%,9.8%,72.5%,27.5%
634,1714474887,L. DiBeradin,Landon DiBeradin,DiBeradin,Landon,C,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,42,1645,5735,48.6%,42.7%,40.7%,22.1%,19.0%,28.1%,9.0%,74.9%,25.1%
635,1194402304,B. Sailors,Brooks Sailors,Sailors,Brooks,C,Fort Wayne,PFW,730231552,Fort Wayne,BBC,L,R,31,1207,4637,45.4%,42.7%,38.4%,18.5%,17.5%,29.7%,7.1%,74.0%,26.0%
636,1362804194,C. Marisca,Charlie Marisca,Marisca,Charlie,C,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,L,R,12,321,1290,41.4%,42.7%,36.1%,18.1%,20.9%,29.3%,6.5%,73.9%,26.1%
637,1775962873,C. Dunn,Christian Dunn,Dunn,Christian,C,Grambling State University,GRAM,5378,Grambling State,BBC,R,R,7,265,706,41.0%,42.6%,32.5%,11.3%,17.0%,20.6%,3.7%,70.4%,29.6%
638,1279131904,M. Kalk,Max Kalk,Kalk,Max,C,Ball State University,BALL,730195456,Ball State,BBC,L,R,21,509,1907,47.7%,42.6%,41.7%,26.3%,20.3%,29.8%,10.9%,75.4%,24.6%
639,1343189705,E. Miller,Ethan Miller,Miller,Ethan,C,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,31,1032,2737,46.0%,42.6%,42.6%,15.0%,19.1%,30.2%,6.4%,73.6%,26.4%
640,1285375748,I. Wirtz,Ian Wirtz,Wirtz,Ian,C,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,14,467,1740,43.9%,42.6%,39.3%,22.5%,20.5%,31.0%,8.9%,76.3%,23.7%
641,1258593024,C. Tallakson,Connor Tallakson,Tallakson,Connor,C,UNLV,UNLV,730161664,UNLV,BBC,R,R,10,222,852,43.3%,42.5%,37.1%,22.2%,16.7%,30.7%,8.2%,72.8%,27.2%
642,1707683796,M. Morales,Miguel Morales,Morales,Miguel,C,Texas Southern University,TXSO,4768,Texas Southern,BBC,L,R,8,331,1160,51.4%,42.5%,39.7%,15.8%,12.4%,25.4%,6.3%,79.0%,21.0%
643,1046485320,J. Fernandez,Jose Fernandez,Fernandez,Jose,C,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,15,342,1308,50.9%,42.5%,41.5%,25.6%,15.5%,28.8%,10.6%,76.0%,24.0%
644,1167698432,R. Kozar,Rees Kozar,Kozar,Rees,C,Niagara University,NIAG,730156544,Niagara,BBC,R,R,16,670,2356,44.9%,42.4%,41.1%,19.5%,19.1%,26.8%,8.0%,75.0%,25.0%
645,1273293312,B. Poppell,Broedy Poppell,Poppell,Broedy,C,Florida A&M University,FAMU,5416,Florida A&M,BBC,S,R,36,1216,3180,46.4%,42.4%,44.0%,11.6%,19.0%,27.5%,5.1%,71.7%,28.3%
646,1097554432,C. Marcellus,Chris Marcellus,Marcellus,Chris,C,Grambling State University,GRAM,5378,Grambling State,BBC,R,R,48,1958,5617,52.5%,42.4%,42.1%,16.4%,13.5%,26.8%,6.9%,75.8%,24.2%
647,1086278694,C. Hadley,Caleb Hadley,Hadley,Caleb,C,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,25,1027,3822,41.4%,41.9%,37.3%,21.8%,18.7%,29.1%,8.1%,72.5%,27.5%
648,1342166967,J. Whitehead,Jamar Whitehead,Whitehead,Jamar,C,Coppin State University,COPP,730194176,Coppin State,BBC,S,R,24,683,2467,42.9%,41.9%,36.1%,20.4%,14.4%,25.7%,7.4%,73.5%,26.5%
649,1310418944,B. Timmons,Brendan Timmons,Timmons,Brendan,C,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,11,375,1315,52.7%,41.9%,37.5%,20.6%,7.0%,21.7%,7.7%,74.1%,25.9%
650,1976934066,K. Glover,Kenny Glover,Glover,Kenny,C,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,12,477,1307,50.6%,41.8%,39.9%,12.5%,11.7%,21.7%,5.0%,72.5%,27.5%
651,1952408633,M. Wall,Micajah Wall,Wall,Micajah,C,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,50,1995,7645,43.3%,41.7%,40.1%,20.7%,23.4%,31.6%,8.3%,71.7%,28.3%
652,1770714050,L. Wilson,Liam Wilson,Wilson,Liam,C,Harvard University,HARV,5450,Harvard,BBC,R,R,11,424,1612,39.7%,41.5%,36.4%,20.3%,19.4%,26.4%,7.4%,69.7%,30.3%
653,1317378560,J. Green,Jason Green,Green,Jason,C,Niagara University,NIAG,730156544,Niagara,BBC,L,R,30,1188,3740,53.9%,41.4%,43.0%,17.7%,15.4%,30.8%,7.6%,77.1%,22.9%
654,1141017344,A. Rivera,Angel Rivera,Rivera,Angel,C,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,34,1415,4166,46.6%,41.2%,39.7%,12.9%,15.8%,23.8%,5.1%,72.8%,27.2%
655,1178169345,J. Bates,Jabin Bates,Bates,Jabin,C,University of North Florida,UNF,730296832,North Florida,BBC,L,R,10,345,1338,49.0%,41.1%,41.9%,22.5%,22.2%,32.7%,9.4%,76.0%,24.0%
656,1299789568,B. Taylor,Bronson Taylor,Taylor,Bronson,C,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,L,R,19,831,2413,42.9%,41.1%,38.8%,12.5%,13.4%,22.0%,4.9%,73.2%,26.8%
657,1266574336,D. Joseph,Dominic Joseph,Joseph,Dominic,C,Southern University,SOU,4767,Southern,BBC,R,R,23,915,3134,53.1%,40.8%,40.2%,18.7%,13.1%,29.2%,7.5%,77.3%,22.7%
658,1309684736,B. Burke,Brendan Burke,Burke,Brendan,C,Norfolk State University,NORF,3904,Norfolk State,BBC,L,R,33,1393,3751,50.3%,40.8%,36.4%,11.6%,9.4%,24.7%,4.2%,74.1%,25.9%
659,1304695552,C. Morrison,Cam Morrison,Morrison,Cam,C,Stonehill College,SC,730238464,Stonehill,BBC,R,R,16,522,1853,44.7%,40.7%,41.0%,19.1%,20.7%,31.4%,7.8%,73.3%,26.7%
660,1664447366,F. Gonzalez,Felix Gonzalez,Gonzalez,Felix,C,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,14,499,1829,49.1%,40.4%,41.7%,24.8%,17.3%,28.4%,10.3%,73.6%,26.4%
661,1235518208,C. McGinnis,Coleman McGinnis,McGinnis,Coleman,C,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,9,413,1610,42.6%,40.0%,37.8%,22.7%,19.0%,26.6%,8.6%,73.6%,26.4%
662,1119193600,H. Torres,Hederick Torres,Torres,Hederick,C,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,42,1532,5375,50.6%,40.0%,41.7%,23.9%,15.2%,28.8%,10.0%,75.5%,24.5%
663,1126571008,J. Rodriguez,Jorge Rodriguez,Rodriguez,Jorge,C,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,18,575,2176,50.9%,39.9%,41.0%,26.3%,16.0%,28.2%,10.8%,75.0%,25.0%
664,1356286583,J. Farmer,Jeremiah Farmer,Farmer,Jeremiah,C,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,21,933,2339,42.0%,39.9%,40.9%,8.9%,14.6%,18.3%,3.7%,69.6%,30.4%
665,1387024195,T. Early,Tom Early,Early,Tom,C,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,13,479,1161,43.8%,39.6%,38.6%,6.5%,15.0%,22.4%,2.5%,72.4%,27.6%
666,1281806592,M. Heiskell,Mason Heiskell,Heiskell,Mason,C,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,44,1717,5500,49.5%,39.5%,38.9%,16.1%,13.8%,26.4%,6.2%,73.3%,26.7%
667,1238050560,D. Brown,Dillon Brown,Brown,Dillon,C,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,28,1163,2953,39.6%,38.4%,39.0%,7.1%,15.6%,18.5%,2.8%,69.6%,30.4%
668,1235359488,N. Quagliato,Nick Quagliato,Quagliato,Nick,C,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,14,534,1819,47.7%,38.3%,40.0%,21.9%,17.9%,27.6%,8.8%,74.0%,26.0%
669,1478596887,B. Daulton,Brayden Daulton,Daulton,Brayden,C,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,6,204,553,33.7%,37.3%,37.6%,13.3%,11.4%,25.6%,5.0%,67.4%,32.6%
670,1933289538,T. Sirchia,Tyler Sirchia,Sirchia,Tyler,C,Dartmouth College,DART,730216192,Dartmouth,BBC,L,R,9,304,1220,47.6%,36.8%,37.4%,18.9%,15.0%,25.7%,7.1%,72.1%,27.9%
671,1455132479,B. Barczai,Brennen Barczai,Barczai,Brennen,C,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,7,219,779,30.9%,36.2%,30.0%,21.3%,14.9%,25.6%,6.4%,70.6%,29.4%
,1394676085,R. Hoeft,Ryan Hoeft,Hoeft,Ryan,C,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,8,264,643,58.6%,-,43.8%,13.6%,23.3%,28.8%,5.9%,82.4%,17.6%
,1599055261,J. Jones,Jace Jones,Jones,Jace,C,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,29,1228,2947,53.9%,-,44.6%,7.5%,13.2%,25.6%,3.4%,77.2%,22.8%
