Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,PB,WP,PBWP,xPBWP,PBWPAA,PBWP+,PBWPRAA,PBWPWAR
279,1100577280,L. Stevenson,Luke Stevenson,Stevenson,Luke,C,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,58,8520,9,31,40,35.33,-3.67,90.6%,-0.93,-0.09
280,1278168832,J. Diprima,JD Diprima,Diprima,JD,C,Northwestern State University,NWST,730255872,Northwestern State,BBC,S,R,13,1089,2,9,11,3.31,-3.69,47.3%,-0.94,-0.09
281,1132702208,B. Smith,Boston Smith,Smith,Boston,C,Wright State University,WRST,5390,Wright State,BBC,L,R,44,6702,8,27,35,23.29,-3.71,86.3%,-0.95,-0.09
282,1387215374,W. Robbins,Will Robbins,Robbins,Will,C,Princeton University,PRIN,730198784,Princeton,BBC,R,R,8,851,0,10,10,6.26,-3.74,62.6%,-0.95,-0.10
283,1152915968,B. Balsz,Blake Balsz,Balsz,Blake,C,UCLA,UCLA,5048,UCLA,BBC,L,R,17,2397,2,14,16,11.24,-3.76,75.0%,-0.96,-0.10
284,1287363072,R. Moore,Reese Moore,Moore,Reese,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,12,1525,1,10,11,7.22,-3.78,65.6%,-0.96,-0.10
285,1330702592,C. Capece,Connor Capece,Capece,Connor,C,Creighton University,CREI,730243840,Creighton,BBC,R,R,46,6132,2,25,27,22.22,-3.78,85.5%,-0.96,-0.10
286,1342169117,Z. Crandall,Zach Crandall,Crandall,Zach,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,18,2316,3,11,14,7.22,-3.78,65.6%,-0.96,-0.10
287,1375742682,Z. Becker,Zane Becker,Becker,Zane,C,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,17,1256,0,8,8,4.21,-3.79,52.6%,-0.97,-0.10
288,1976934066,K. Glover,Kenny Glover,Glover,Kenny,C,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,12,1307,7,25,32,2.20,-3.80,36.7%,-0.97,-0.10
