Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,CThrows,CThrowsOnTrgt,CThrowsOffTrgt,CThrowSpd,PopTime,CExchTime,CTimeToBase,CThrowHeight,CThrowDownLineDist
716,1310718720,C. Carter,Charlie Carter,Carter,Charlie,C,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,2,2,0,79.9,1.80,0.77,1.04,3.32,2.7
716,1172325120,B. Richartz,Brigs Richartz,Richartz,Brigs,LF,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,R,2,2,0,74.4,1.98,0.68,1.33,1.41,1.2
716,1183060992,C. Knight,Christian Knight,Knight,Christian,C,Wagner College,WAG,730192640,Wagner,BBC,S,R,2,0,0,78.3,-,0.73,-,-,-
716,1318696704,J. Janove,Josh Janove,Janove,Josh,1B,Towson University,TOWS,730318336,Towson,BBC,R,R,2,2,0,73.1,2.32,1.16,1.16,3.22,1.8
716,1238033920,D. Biggerstaff,Drew Biggerstaff,Biggerstaff,Drew,C,Radford University,RAD,730267392,Radford,BBC,R,R,2,1,1,75.0,2.05,0.94,1.11,4.73,1.8
716,1083996416,B. Parmer,Broc Parmer,Parmer,Broc,C,UTSA,UTSA,730373120,UTSA,BBC,L,R,2,0,1,77.9,1.58,0.76,0.90,2.02,-5.3
716,1198577664,T. Walker,Tommy Walker,Walker,Tommy,3B,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,2,2,0,75.2,2.10,0.73,1.37,4.25,3.6
716,1207770624,J. Bogart,JD Bogart,Bogart,JD,C,Bradley University,BRAD,730253312,Bradley,BBC,R,R,2,2,0,73.1,2.11,0.73,1.14,4.50,0.1
716,1085402112,C. Campau,Carter Campau,Campau,Carter,P,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,2,1,0,75.1,1.70,0.76,0.90,1.82,5.3
716,1235359488,N. Quagliato,Nick Quagliato,Quagliato,Nick,C,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,2,0,1,78.5,2.07,0.84,1.29,-1.53,10.8
716,1202411264,M. McGlone,Max McGlone,McGlone,Max,C,Army West Point,ARMY,4744,Army,BBC,R,R,2,0,0,82.6,-,0.62,-,-,-
716,1092719616,C. Beattie,Chase Beattie,Beattie,Chase,C,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,2,0,2,70.9,1.74,0.87,0.93,5.55,10.8
716,1259930880,A. Broski,Adam Broski,Broski,Adam,C,Michigan State University,MSU,1551,Michigan State,BBC,R,R,2,1,1,78.2,1.97,0.91,1.06,4.81,2.6
716,1775167022,B. Hubbard,Bryce Hubbard,Hubbard,Bryce,C,Oregon State University,ORST,3111,Oregon State,BBC,L,R,2,2,0,77.8,2.09,0.76,1.06,5.30,8.0
716,1175359838,P. Cabral,Pierre Cabral,Cabral,Pierre,C,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,2,0,0,69.8,-,0.90,-,-,-
716,1642306683,W. Walker,Wes Walker,Walker,Wes,C,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,2,2,0,80.7,1.76,0.67,1.08,2.65,-4.7
716,1471059156,L. Williams,Landon Williams,Williams,Landon,3B,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,2,0,0,75.7,-,0.73,-,-,-
716,1438110242,S. Yu,Spencer Yu,Yu,Spencer,C,George Washington University,GW,730249216,George Washington,BBC,R,R,2,1,0,71.2,2.69,1.05,1.47,0.53,3.2
716,1072962199,T. Cupp,Ty Cupp,Cupp,Ty,C,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,2,0,1,74.5,2.12,0.90,1.33,1.05,10.5
716,1088139176,M. Roncalli,Matthew Roncalli,Roncalli,Matthew,C,UAB,UAB,730345984,UAB,BBC,R,R,2,1,0,69.7,1.90,0.78,1.08,5.71,4.5
716,1236214824,B. Collins,Brodie Collins,Collins,Brodie,C,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,2,1,1,76.9,1.98,0.74,1.27,3.38,1.2
716,1342166862,B. Wirthgen,Brock Wirthgen,Wirthgen,Brock,C,California Baptist University,CBU,5091,California Baptist,BBC,R,R,2,2,0,76.0,1.81,0.74,1.07,1.37,5.1
716,1977464581,T. Long,Tyman Long,Long,Tyman,1B,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,2,1,1,80.9,2.23,1.01,1.22,0.77,-2.5
716,1809569626,A. Schuck,Aidan Schuck,Schuck,Aidan,RF,Oakland University,OAK,5386,Oakland,BBC,R,R,2,1,1,79.4,1.91,0.67,1.03,3.67,1.2
716,1952447340,J. Cunningan,Josh Cunningan,Cunningan,Josh,C,Seattle University,SEA,4504,Seattle,BBC,L,R,2,0,0,75.0,-,0.76,-,-,-
716,1342169030,N. Cadiz,Noah Cadiz,Cadiz,Noah,C,The Citadel,CIT,730366720,The Citadel,BBC,R,R,2,2,0,70.6,1.96,0.75,1.21,2.20,3.3
716,1448761286,A. Rivera,Aris Rivera,Rivera,Aris,C,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,2,2,0,79.4,1.67,0.85,1.03,1.55,3.0
716,1583934070,B. Cowans,Blake Cowans,Cowans,Blake,C,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,2,1,0,72.8,-,0.77,1.46,-1.51,4.3
716,1726804796,L. Mighton,LA Mighton,Mighton,LA,C,University of Akron,AKR,540536064,Akron,BBC,R,R,2,2,0,73.3,2.11,0.73,1.33,3.13,-1.4
716,1427139649,N. Barry,Nolan Barry,Barry,Nolan,1B,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,2,0,1,82.1,2.09,0.89,1.20,3.49,-6.2
716,1952635625,A. Lenski,Andrew Lenski,Lenski,Andrew,C,Iona College,IONA,730242048,Iona,BBC,R,R,2,1,0,74.5,2.14,0.78,1.36,3.66,0.3
716,1342167587,M. Burt,Max Burt,Burt,Max,C,University of Iowa,IOWA,1232,Iowa,BBC,R,R,2,1,0,77.5,-,1.46,1.28,0.16,-0.2
716,1677815916,L. McNellis,Lucas McNellis,McNellis,Lucas,C,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,2,1,1,75.9,2.62,1.74,1.07,3.31,1.9
716,1933289538,T. Sirchia,Tyler Sirchia,Sirchia,Tyler,C,Dartmouth College,DART,730216192,Dartmouth,BBC,L,R,2,1,0,77.3,2.06,0.71,1.35,0.20,-0.6
716,1759366066,B. Conrad,Blake Conrad,Conrad,Blake,C,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,2,0,0,73.7,-,0.72,-,-,-
760,1309516544,Z. Stevens,Zach Stevens,Stevens,Zach,P,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,1,0,1,79.0,1.92,0.69,1.23,1.95,11.3
760,1093169152,C. Stricklin,Cale Stricklin,Stricklin,Cale,C,Auburn University,AUB,5466,Auburn,BBC,R,R,1,1,0,78.7,2.02,0.74,1.28,1.96,-2.9
760,1278228736,B. Estep,Brice Estep,Estep,Brice,C,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,1,0,0,75.1,-,0.80,-,-,-
760,1269467648,W. Burns,Will Burns,Burns,Will,3B,University of Maine,ME,730275840,Maine,BBC,L,R,1,1,0,75.3,2.45,1.10,1.34,1.34,-4.5
760,1146187520,J. Suarez,Jake Suarez,Suarez,Jake,C,Davidson College,DAV,730363136,Davidson,BBC,L,R,1,0,1,68.6,1.81,0.81,1.00,10.47,7.3
760,1184712448,W. Lybrook,William Lybrook,Lybrook,William,1B,Harvard University,HARV,5450,Harvard,BBC,R,R,1,0,1,72.9,2.36,0.95,1.41,15.68,17.0
760,1239104512,C. Hughes,Collin Hughes,Hughes,Collin,C,Virginia Commonwealth University,VCU,730179328,VCU,BBC,L,R,1,1,0,76.3,2.27,0.94,1.33,2.91,-0.7
760,1176122880,L. Odom,Lawson Odom,Odom,Lawson,C,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,1,0,0,79.7,-,0.77,-,-,-
760,1341291776,Z. Chamizo,Zach Chamizo,Chamizo,Zach,3B,San Jose State University,SJSU,730206720,San Jose State,BBC,L,R,1,1,0,72.0,2.16,0.77,1.39,0.09,2.5
760,1101452288,D. Stokely,David Stokely,Stokely,David,C,Murray State University,MURR,730188032,Murray State,BBC,R,R,1,1,0,78.2,2.04,0.80,1.24,-0.59,-1.6
760,1311346432,J. Burley,Jacob Burley,Burley,Jacob,C,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,1,0,0,69.8,-,0.83,-,-,-
760,1278168832,J. Diprima,JD Diprima,Diprima,JD,C,Northwestern State University,NWST,730255872,Northwestern State,BBC,S,R,1,1,0,76.6,2.14,0.85,1.29,4.73,2.6
760,1303790848,J. Randolph,Jake Randolph,Randolph,Jake,C,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,1,1,0,64.5,-,-,1.03,0.85,-3.5
760,1091393280,E. Krumpe,Eric Krumpe,Krumpe,Eric,P,UNC Asheville,UNCA,1570,UNC Asheville,BBC,L,R,1,1,0,78.6,1.67,0.84,0.82,-1.72,2.3
760,1210138368,B. Mercado,Brock Mercado,Mercado,Brock,C,UNC Asheville,UNCA,1570,UNC Asheville,BBC,L,R,1,0,0,73.6,-,0.87,-,-,-
760,1078425088,N. Button,Nico Button,Button,Nico,C,University of California,CAL,730152448,California,BBC,L,R,1,1,0,77.1,1.71,0.86,0.85,1.41,3.2
760,1196004096,C. Allen,Courtney Allen,Allen,Courtney,C,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,1,0,0,77.5,-,0.93,-,-,-
760,1111263745,A. Cortez,Angel Cortez,Cortez,Angel,1B,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,1,0,0,75.5,-,0.79,-,-,-
760,1162134528,T. Rucker,Tristan Rucker,Rucker,Tristan,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,1,0,0,74.8,-,0.82,-,-,-
760,1976934066,K. Glover,Kenny Glover,Glover,Kenny,C,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,1,1,0,71.2,1.81,0.91,0.90,-0.21,1.8
760,1124793499,M. Falk,Matt Falk,Falk,Matt,C,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,1,1,0,73.8,2.34,0.98,1.36,-1.92,8.0
760,1047639637,M. Soliz Jr.,Max Soliz Jr.,Soliz Jr.,Max,C,University of Kansas,KU,730360064,Kansas,BBC,R,R,1,1,0,80.0,2.10,0.82,1.28,-0.19,6.2
760,1039959144,D. Scheumann,DJ Scheumann,Scheumann,DJ,C,Ball State University,BALL,730195456,Ball State,BBC,S,R,1,0,0,74.5,-,0.83,-,-,-
760,1385800022,M. Kalinich,Michael Kalinich,Kalinich,Michael,C,East Carolina University,ECU,730270720,East Carolina,BBC,L,R,1,1,0,79.8,-,-,1.21,1.34,7.0
760,1470464177,N. Johnson,Nolan Johnson,Johnson,Nolan,C,University of Miami,MIA,236,Miami,BBC,R,R,1,0,1,73.4,2.15,0.75,1.41,-0.34,-5.0
760,1175115224,D. Bowne,Deacon Bowne,Bowne,Deacon,C,Bucknell University,BUCK,730214144,Bucknell,BBC,R,R,1,0,1,76.3,2.06,0.68,1.37,10.41,-7.1
760,1367354529,S. Alemais,Seven Alemais,Alemais,Seven,C,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,1,1,0,81.2,2.09,0.86,1.24,2.81,0.8
760,1342167035,B. Stang,Bobby Stang,Stang,Bobby,C,University of Dayton,DAY,730194688,Dayton,BBC,R,R,1,0,0,76.4,-,0.81,-,-,-
760,1852260943,D. Diaz,Derek Diaz,Diaz,Derek,C,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,1,0,1,76.3,2.48,1.18,1.30,-0.60,-5.0
760,1430036923,C. Raether,Carson Raether,Raether,Carson,C,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,R,1,1,0,76.5,2.13,1.26,0.88,5.00,4.3
760,1342169076,W. Good,William Good,Good,William,C,Tulane University,TULN,730354176,Tulane,BBC,R,R,1,1,0,74.7,-,-,0.89,3.60,3.8
760,1925912145,P. McDaniels,Parker McDaniels,McDaniels,Parker,C,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,1,0,1,79.7,1.98,0.70,1.28,6.21,-0.1
760,1387771828,W. Cuevas,Wilmer Cuevas,Cuevas,Wilmer,C,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,1,1,0,73.2,2.22,0.80,1.42,3.97,-2.0
760,1775962873,C. Dunn,Christian Dunn,Dunn,Christian,C,Grambling State University,GRAM,5378,Grambling State,BBC,R,R,1,1,0,71.7,2.53,1.09,1.44,4.74,5.5
760,1455132479,B. Barczai,Brennen Barczai,Barczai,Brennen,C,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,1,1,0,72.4,2.25,0.84,1.41,5.40,5.5
760,1478596887,B. Daulton,Brayden Daulton,Daulton,Brayden,C,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,1,0,0,72.3,-,0.84,-,-,-
760,1922769815,A. Ellis,Austin Ellis,Ellis,Austin,C,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,1,1,0,72.2,-,-,0.89,0.82,2.1
760,1836798750,R. Dillon,Ryan Dillon,Dillon,Ryan,C,Cornell University,COR,730298624,Cornell,BBC,R,R,1,0,0,73.7,-,0.78,-,-,-
760,1755455660,T. Callaway,Trey Callaway,Callaway,Trey,C,University of Missouri,MIZZ,4806,Missouri,BBC,S,R,1,0,0,76.8,-,-,-,-,-
760,1184560802,X. Bradley,Xavier Bradley,Bradley,Xavier,C,Southern University,SOU,4767,Southern,BBC,R,R,1,0,1,73.7,2.04,0.68,1.36,6.25,1.1
760,1342167730,K. Hammond,Kevin Hammond,Hammond,Kevin,C,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,1,1,0,74.2,1.99,0.64,1.35,-0.64,-0.4
760,1754951818,K. Guthrie,Kingsley Guthrie,Guthrie,Kingsley,C,Murray State University,MURR,730188032,Murray State,BBC,S,R,1,0,1,80.9,-,-,1.20,6.40,4.6
760,1505397870,O. Turner,Owen Turner,Turner,Owen,C,Yale University,YALE,730334464,Yale,BBC,R,R,1,1,0,77.1,1.53,0.66,0.87,1.84,-2.7
760,1196105842,Z. Porter,Zach Porter,Porter,Zach,C,Wofford College,WOF,730176512,Wofford,BBC,R,R,1,0,0,76.6,-,1.12,-,-,-
760,1342166905,O. Arias,Owen Arias,Arias,Owen,C,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,1,1,0,73.6,2.22,0.89,1.33,1.98,6.4
760,1078297613,T. DiChiara,Tony DiChiara,DiChiara,Tony,C,Monmouth University,MONM,4164,Monmouth,BBC,R,R,1,0,1,74.0,-,-,1.35,1.49,-6.9
