Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,G,GS,W,L,QS,SV,IP,H,ER,R,ER/G,R/G,BB,K,HR,ERA,FIP,WHIP,K/9,BB/9,K/BB,HR/9,IP/G
2862,1191538176,B. Hogue,Brant Hogue,Hogue,Brant,P,University of Iowa,IOWA,1232,Iowa,BBC,L,L,590,23,0,2,1,0,2,28.1,23,12,15,0.52,0.65,19,50,1,3.81,3.07,1.48,15.88,6.04,2.63,0.32,1.1
2862,1263652608,N. Hosie,Nick Hosie,Hosie,Nick,C,Bradley University,BRAD,730253312,Bradley,BBC,L,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1099689728,C. Johnson,Caleb Johnson,Johnson,Caleb,SS,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,S,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1131535104,S. Silas,Sam Silas,Silas,Sam,1B,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1132136960,G. Young,Gabe Young,Young,Gabe,LF,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,L,L,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1148028160,L. Walters,Logan Walters,Walters,Logan,LF,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1187499008,D. Collins,Drew Collins,Collins,Drew,LF,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,L,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1197361920,H. Walburn,Hudson Walburn,Walburn,Hudson,C,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1207799040,D. Chandler,Devin Chandler,Chandler,Devin,2B,Alabama State University,ALST,4765,Alabama State,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1238200064,J. Cruz,Juan Cruz,Cruz,Juan,1B,Alabama State University,ALST,4765,Alabama State,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
