Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,1B%,x1B%,2B%,x2B%,3B%,x3B%,HR%,xHR%,XBH%,xXBH%
,1194203617,J. Damelio,Joey Damelio,Damelio,Joey,RF,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1342168451,C. Wipf,Cal Wipf,Wipf,Cal,1B,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1346270660,Z. Woodson,Zach Woodson,Woodson,Zach,1B,Pepperdine University,PEPP,730338304,Pepperdine,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1538621863,R. Klein,Rohne Klein,Klein,Rohne,P,University of Utah,UTAH,730328320,Utah,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1738127352,E. Sepulveda,Esteban Sepulveda,Sepulveda,Esteban,C,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1739017214,Z. Hawkins,Zakye Hawkins,Hawkins,Zakye,2B,University of Utah,UTAH,730328320,Utah,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1766704138,J. Thomas,Jackson Thomas,Thomas,Jackson,RF,Georgetown University,GTWN,2330,Georgetown,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1050573831,D. Hummel,Dylan Hummel,Hummel,Dylan,SS,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1054006482,J. Jackson,John Jackson,Jackson,John,P,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1342168495,W. Briggs,Will Briggs,Briggs,Will,C,Purdue University,PUR,730353152,Purdue,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1461937804,E. Anderson,Eli Anderson,Anderson,Eli,LF,Purdue University,PUR,730353152,Purdue,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1126438009,B. Clavon,Bryce Clavon,Clavon,Bryce,LF,University of Georgia,UGA,226,Georgia,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1493011308,D. Jackson,Daniel Jackson,Jackson,Daniel,RF,University of Georgia,UGA,226,Georgia,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1094020165,C. Benavidez,Christopher Benavidez,Benavidez,Christopher,LF,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1120645167,B. Bonilla,Benito Bonilla,Bonilla,Benito,1B,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1397192729,L. Dunn,Logan Dunn,Dunn,Logan,RF,Missouri State University,MOSU,5382,Missouri State,BBC,L,L,0,0,-,-,-,-,-,-,-,-,-,-
,1424744699,L. Fyffe,Logan Fyffe,Fyffe,Logan,3B,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1703358023,B. Kragel,Brant Kragel,Kragel,Brant,1B,Missouri State University,MOSU,5382,Missouri State,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1218142949,N. Traeger,Nolan Traeger,Traeger,Nolan,C,Texas Christian University,TCU,5045,TCU,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1264887845,C. Meidroth,Connor Meidroth,Meidroth,Connor,2B,University of San Diego,USD,5320,San Diego,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1573312151,R. Watson,Rex Watson,Watson,Rex,RF,University of San Diego,USD,5320,San Diego,BBC,L,L,0,0,-,-,-,-,-,-,-,-,-,-
,1289058129,J. Liera,Jesus Liera,Liera,Jesus,C,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1435511892,E. Fairchild,Elijah Fairchild,Fairchild,Elijah,SS,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1478941944,A. Rayment,Andrew Rayment,Rayment,Andrew,CF,Santa Clara University,SCU,730297600,Santa Clara,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1168911894,B. Hollins,Beau Hollins,Hollins,Beau,1B,University of South Carolina,SCAR,730348544,South Carolina,BBC,S,L,0,0,-,-,-,-,-,-,-,-,-,-
,1305837372,G. Braland,Gavin Braland,Braland,Gavin,C,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1901458397,J. Woita,Jase Woita,Woita,Jase,LF,University of South Carolina,SCAR,730348544,South Carolina,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1927087283,C. Gaskin,Cayden Gaskin,Gaskin,Cayden,2B,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
