Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,SB2,CS2,CSBA2Throws,CSBA2ThrowsOnTrgt,CSBA2ThrowsOffTrgt,CSBA2ThrowSpd,PopTimeSBA2,CSBA2ExchTime,CSBA2TimeToBase,CSBA2ThrowHeight,CSBA2ThrowDownLineDist
144,1243724032,R. Lee,Ryan Lee,Lee,Ryan,C,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,11,4,3,1,0,77.3,2.29,0.97,0.82,1.95,2.7
144,1162576640,C. Dillon,Cole Dillon,Dillon,Cole,C,Wichita State University,WICH,730203904,Wichita State,BBC,R,R,11,4,5,2,1,74.5,2.03,0.69,1.36,4.87,0.3
144,1157742080,W. Plattner,Will Plattner,Plattner,Will,C,University of Alabama,ALA,730206976,Alabama,BBC,R,R,11,4,8,5,0,77.2,2.17,0.83,1.29,0.38,2.4
144,1336721062,D. Smith,Derek Smith,Smith,Derek,C,University of Utah,UTAH,730328320,Utah,BBC,R,R,11,4,11,8,2,81.0,2.02,0.79,1.22,1.38,0.9
144,1342168414,E. Gustafson,Evan Gustafson,Gustafson,Evan,C,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,R,11,6,8,7,0,79.9,2.03,0.78,1.25,2.16,2.6
144,1175359838,P. Cabral,Pierre Cabral,Cabral,Pierre,C,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,11,1,1,0,0,69.4,-,0.90,-,-,-
144,1279921049,A. Ludeiro,Alejandro Ludeiro,Ludeiro,Alejandro,C,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,11,2,11,6,2,79.6,2.06,0.86,1.22,3.99,0.5
144,1843543813,C. Gunderson,Cody Gunderson,Gunderson,Cody,1B,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,11,1,8,1,2,79.7,1.98,0.72,1.27,0.34,-6.7
144,1943433924,A. French,Anderson French,French,Anderson,C,Virginia Tech,VT,2293,Virginia Tech,BBC,L,R,11,2,9,5,2,78.1,1.98,0.73,1.28,4.91,4.8
144,1000403987,D. Pena,Diego Pena,Pena,Diego,C,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,11,4,9,8,1,77.4,2.18,0.88,1.31,2.79,1.8
144,1563240163,G. Kelly,Gavin Kelly,Kelly,Gavin,C,West Virginia University,WVU,5327,West Virginia,BBC,R,R,11,3,9,6,1,79.6,2.00,0.76,1.23,2.00,3.5
144,1044224575,D. Leikus,Danny Leikus,Leikus,Danny,C,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,11,1,9,4,0,71.3,1.98,0.80,1.26,1.35,0.5
144,1212686611,A. Temesvary,Anthony Temesvary,Temesvary,Anthony,C,Columbia University,CLMB,730319104,Columbia,BBC,R,R,11,6,9,4,1,76.8,2.04,0.83,1.31,0.52,8.0
144,1478596887,B. Daulton,Brayden Daulton,Daulton,Brayden,C,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,11,2,1,0,0,72.3,-,0.84,-,-,-
144,1933289538,T. Sirchia,Tyler Sirchia,Sirchia,Tyler,C,Dartmouth College,DART,730216192,Dartmouth,BBC,L,R,11,4,1,1,0,74.7,2.06,0.71,1.35,0.20,-0.6
144,1215682743,C. Alexander,Carter Alexander,Alexander,Carter,C,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,11,2,4,2,0,75.5,2.03,0.78,1.33,1.07,-1.9
175,1143042816,T. LeCroy,Talmadge LeCroy,LeCroy,Talmadge,C,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,12,2,7,3,3,79.4,2.07,0.82,1.25,1.60,-4.7
