Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,AB,HLeft%,HCtr%,HRight%,HPull%,HOppFld%,HFarLft%,HLftCtr%,HDeadCtr%,HRtCtr%,HFarRt%
73,1056312556,Z. Thompson,Zack Thompson,Thompson,Zack,C,Mercer University,MER,730240512,Mercer,BBC,R,R,53,154,51.2%,31.2%,17.6%,51.2%,17.6%,28.8%,31.2%,18.4%,14.4%,7.2%
74,1132962304,L. Iverson,Luke Iverson,Iverson,Luke,RF,Utah Valley University,UVU,730263552,Utah Valley,BBC,S,R,60,237,16.3%,34.9%,48.8%,51.2%,14.0%,8.5%,15.5%,19.4%,29.5%,27.1%
74,1332973312,A. Agresti,Adam Agresti,Agresti,Adam,C,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,40,143,51.2%,32.6%,16.3%,51.2%,16.3%,33.7%,20.9%,22.1%,14.0%,9.3%
76,1174874880,J. Tiroly,Joe Tiroly,Tiroly,Joe,2B,Rider University,RID,730174976,Rider,BBC,R,R,51,197,51.1%,28.4%,20.5%,51.1%,20.5%,33.0%,27.3%,15.9%,14.8%,9.1%
77,1294955264,Z. Yorke,Zach Yorke,Yorke,Zach,1B,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,R,48,174,10.9%,38.0%,51.1%,51.1%,10.9%,3.6%,12.4%,24.1%,28.5%,31.4%
78,1162352384,C. Barr,Chris Barr,Barr,Chris,LF,Army West Point,ARMY,4744,Army,BBC,S,R,50,208,29.9%,25.5%,44.6%,51.1%,23.4%,17.9%,16.8%,16.8%,20.7%,27.7%
79,1162131968,J. Figueroa,Josue Figueroa,Figueroa,Josue,1B,Florida A&M University,FAMU,5416,Florida A&M,BBC,S,R,58,182,36.2%,27.7%,36.2%,51.1%,21.3%,14.9%,21.3%,19.1%,27.7%,17.0%
80,1310332928,R. Helfrick,Ryder Helfrick,Helfrick,Ryder,C,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,61,190,51.0%,27.3%,21.7%,51.0%,21.7%,30.8%,29.4%,14.7%,14.7%,10.5%
81,1395982135,J. Flores,Jaden Flores,Flores,Jaden,3B,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,51,174,51.0%,30.6%,18.4%,51.0%,18.4%,26.5%,28.6%,20.4%,14.3%,10.2%
82,1317378560,J. Green,Jason Green,Green,Jason,C,Niagara University,NIAG,730156544,Niagara,BBC,L,R,44,162,12.7%,36.4%,50.9%,50.9%,12.7%,5.5%,18.2%,12.7%,32.7%,30.9%
83,1156909056,J. Lewis,Jeriah Lewis,Lewis,Jeriah,CF,San Jose State University,SJSU,730206720,San Jose State,BBC,L,R,59,219,18.8%,30.4%,50.9%,50.9%,18.8%,13.4%,8.0%,20.5%,25.9%,32.1%
84,1167172608,T. Townsend,Tommy Townsend,Townsend,Tommy,LF,Butler University,BUT,730283520,Butler,BBC,L,L,44,140,19.0%,30.2%,50.8%,50.8%,19.0%,11.1%,11.1%,19.0%,33.3%,25.4%
