Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,Swing#,Miss#,Strike#,InPlay#,Foul#,InZone#,Chase#,CallStrk#
1761,1197663488,J. Harvey,Jake Harvey,Harvey,Jake,C,University of Nevada,NEV,4784,Nevada,BBC,R,R,49,218,949,318,37,558,147,134,441,82,240
1761,1205026048,B. Bryan,Brooks Bryan,Bryan,Brooks,C,Troy University,TROY,730378496,Troy,BBC,L,R,60,276,1078,492,141,658,158,193,441,173,166
1761,1174787328,T. Splaine,Tommy Splaine,Splaine,Tommy,1B,University of Arizona,ARIZ,232,Arizona,BBC,R,R,62,255,999,439,114,625,165,160,441,138,186
1761,1144614656,L. Lawrence,Luke Lawrence,Lawrence,Luke,2B,University of Kentucky,UK,5362,Kentucky,BBC,L,R,57,268,957,456,76,610,197,183,441,137,154
1761,1080823296,K. McDaniel,Kyle McDaniel,McDaniel,Kyle,2B,Utah Tech University,UTU,730318592,Utah Tech,BBC,L,R,55,250,956,332,24,552,191,117,441,72,220
1761,1088382464,I. Lopez,Isaac Lopez,Lopez,Isaac,SS,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,51,256,880,406,65,531,199,142,441,82,125
1761,1323961088,A. Soldra,AJ Soldra,Soldra,AJ,CF,Seton Hall University,HALL,730272512,Seton Hall,BBC,L,L,54,259,1017,485,102,618,176,207,441,129,133
1761,1238203392,J. Hernandez,Jaylen Hernandez,Hernandez,Jaylen,LF,Winthrop University,WIN,730294784,Winthrop,BBC,L,R,60,294,1113,363,52,616,192,119,441,121,253
1761,1232373760,T. Sudbrook,Troy Sudbrook,Sudbrook,Troy,3B,University of Toledo,TOL,5388,Toledo,BBC,L,R,61,281,1013,475,95,632,206,174,441,158,157
1761,1679882311,L. Alberti,Lucas Alberti,Alberti,Lucas,LF,George Mason University,GMU,730265088,George Mason,BBC,R,R,61,291,1073,383,87,604,191,105,441,100,221
1773,1092991488,B. Compton,Brandon Compton,Compton,Brandon,LF,Arizona State University,ASU,5035,Arizona State,BBC,L,L,59,261,1036,420,107,601,165,148,442,129,181
1773,1196785152,J. Torres,Jason Torres,Torres,Jason,3B,University of Alabama,ALA,730206976,Alabama,BBC,R,R,59,260,1064,447,173,607,129,145,442,136,160
1773,1226688256,J. Jaconski,Joe Jaconski,Jaconski,Joe,2B,Penn State University,PSU,5326,Penn State,BBC,L,R,56,257,1013,424,115,604,164,145,442,138,180
1773,1278153216,B. Wilmes,Ben Wilmes,Wilmes,Ben,LF,University of Iowa,IOWA,1232,Iowa,BBC,R,R,52,234,935,357,68,568,168,121,442,97,211
1773,1263100160,R. Liddington,Robbie Liddington,Liddington,Robbie,1B,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,L,50,241,824,413,96,526,170,147,442,56,113
