Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,Swing%,Miss%,Contact%,Strike%,InPlay%,Foul%,InZone%,Chase%,CallStrk%,SwStrk%,P/PA,MxPPA,CompLoc%,NonCompLoc%
101,1092329472,J. Alvarez,Julian Alvarez,Alvarez,Julian,RF,California Baptist University,CBU,5091,California Baptist,BBC,L,L,52,195,733,42.2%,18.1%,81.9%,58.7%,46.3%,35.6%,41.7%,27.4%,28.5%,7.6%,3.76,9,77.7%,22.3%
102,1192592640,C. Harthan,Cam Harthan,Harthan,Cam,CF,Marshall University,MRSH,730333696,Marshall,BBC,L,L,56,242,753,50.7%,14.4%,85.6%,62.9%,51.0%,34.6%,41.7%,32.6%,24.8%,7.3%,3.11,9,75.0%,25.0%
103,1182843904,D. Johnson,Davis Johnson,Johnson,Davis,C,University of Notre Dame,ND,225,Notre Dame,BBC,L,R,40,169,673,38.9%,32.4%,67.6%,56.0%,34.7%,32.8%,41.7%,23.3%,28.0%,12.6%,3.98,9,76.9%,23.1%
104,1310684928,C. Bodine,Caden Bodine,Bodine,Caden,C,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,S,R,67,313,1073,39.8%,11.0%,89.0%,55.1%,52.7%,36.3%,41.7%,22.9%,25.4%,4.4%,3.43,11,76.0%,24.0%
105,1298785792,R. Peterson,Ryan Peterson,Peterson,Ryan,C,Virginia Military Institute,VMI,730173440,VMI,BBC,L,R,53,227,790,39.7%,19.7%,80.3%,57.6%,44.6%,35.7%,41.7%,24.3%,29.4%,7.8%,3.48,11,78.3%,21.7%
106,1436931203,K. Coakley,Kannon Coakley,Coakley,Kannon,1B,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,46,189,722,41.8%,24.5%,75.5%,61.2%,40.4%,35.1%,41.7%,22.4%,33.1%,10.2%,3.82,10,69.4%,30.6%
107,1294963968,D. Faurot,Drew Faurot,Faurot,Drew,2B,Florida State University,FSU,101,Florida State,BBC,S,R,58,251,880,47.6%,26.5%,73.5%,60.8%,41.8%,31.7%,41.7%,30.4%,23.8%,12.6%,3.51,8,77.6%,22.4%
108,1383694193,M. Gupton,Michael Gupton,Gupton,Michael,CF,Samford University,SAM,730386432,Samford,BBC,R,R,55,217,785,55.0%,30.6%,69.4%,67.7%,31.0%,38.4%,41.7%,41.9%,26.3%,16.8%,3.62,11,75.7%,24.3%
109,1266589184,M. Zarrillo,Michael Zarrillo,Zarrillo,Michael,3B,Lafayette College,LAF,730217728,Lafayette,BBC,S,R,49,213,746,49.1%,25.1%,74.9%,61.4%,40.2%,34.7%,41.8%,28.3%,24.2%,12.3%,3.50,9,77.3%,22.7%
110,1213817600,J. Bay,John Bay,Bay,John,CF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,59,294,1100,40.6%,31.3%,68.7%,54.6%,36.7%,32.0%,41.8%,20.7%,23.6%,12.7%,3.74,8,72.6%,27.4%
111,1500574460,B. Ballinger,Brady Ballinger,Ballinger,Brady,1B,University of Kansas,KU,730360064,Kansas,BBC,L,L,58,289,1200,36.5%,19.9%,80.1%,54.1%,41.3%,38.8%,41.8%,20.4%,27.7%,7.2%,4.15,9,79.5%,20.5%
112,1292066560,E. Petry,Ethan Petry,Petry,Ethan,RF,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,44,190,711,46.4%,27.0%,73.0%,59.1%,37.6%,35.5%,41.8%,28.5%,23.6%,12.5%,3.74,9,75.4%,24.6%
113,1198577152,K. Kropf,Koby Kropf,Kropf,Koby,RF,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,49,234,873,50.9%,25.5%,74.5%,63.8%,34.9%,39.6%,41.8%,32.0%,26.3%,12.9%,3.73,9,73.7%,26.3%
114,1099810304,W. Peifer,Wyatt Peifer,Peifer,Wyatt,3B,James Madison University,JMU,730340096,James Madison,BBC,S,R,55,239,860,48.0%,17.9%,82.1%,63.8%,41.2%,40.9%,41.8%,31.2%,30.4%,8.6%,3.60,8,80.1%,19.9%
115,1162347776,A. Sosa,Alex Sosa,Sosa,Alex,C,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,52,228,942,39.4%,25.3%,74.7%,57.2%,38.3%,36.4%,41.8%,24.6%,29.4%,10.0%,4.13,11,78.9%,21.1%
116,1279326208,T. Doucette,Ty Doucette,Doucette,Ty,1B,Rutgers University,RUTG,730229248,Rutgers,BBC,L,R,57,276,959,50.2%,21.2%,78.8%,59.4%,42.2%,36.6%,41.8%,30.1%,18.6%,10.6%,3.47,10,76.2%,23.8%
117,1140709632,H. Stokely,Hunter Stokely,Stokely,Hunter,1B,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,61,278,996,50.1%,31.5%,68.5%,61.2%,36.5%,32.1%,41.8%,31.8%,22.3%,15.8%,3.58,8,75.4%,24.6%
118,1310856448,A. Fischer,Andrew Fischer,Fischer,Andrew,1B,University of Tennessee,TENN,730153728,Tennessee,BBC,L,R,65,292,1249,39.2%,22.7%,77.3%,52.8%,36.5%,40.8%,41.8%,18.0%,22.4%,8.9%,4.28,11,76.6%,23.4%
119,1330772992,D. Joyce,Dylan Joyce,Joyce,Dylan,1B,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,50,222,849,52.1%,33.3%,66.7%,63.4%,30.5%,36.2%,41.8%,30.0%,23.6%,17.3%,3.82,11,73.0%,27.0%
120,1184450816,D. Lewis,David Lewis,Lewis,David,3B,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,47,149,636,40.7%,28.6%,71.4%,57.7%,31.3%,40.2%,41.8%,24.0%,28.6%,11.6%,4.27,8,77.2%,22.8%
121,1153440768,I. Schmidly,Ike Schmidly,Schmidly,Ike,RF,James Madison University,JMU,730340096,James Madison,BBC,R,R,42,129,478,51.7%,32.4%,67.6%,65.7%,30.4%,37.2%,41.8%,33.8%,29.0%,16.7%,3.71,10,75.7%,24.3%
122,1310831104,M. Russo,Matthew Russo,Russo,Matthew,1B,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,R,63,300,1144,46.0%,23.2%,76.8%,60.8%,36.9%,39.9%,41.8%,29.1%,27.3%,10.7%,3.81,9,77.0%,23.0%
122,1297354496,G. Miranda,Gabe Miranda,Miranda,Gabe,1B,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,L,55,273,1144,34.3%,27.8%,72.2%,54.8%,38.5%,33.7%,41.8%,19.2%,31.0%,9.5%,4.19,9,74.7%,25.3%
124,1086062848,J. Collura,Jaden Collura,Collura,Jaden,C,Nicholls State University,NICH,730284032,Nicholls State,BBC,L,R,49,209,816,40.9%,15.3%,84.7%,55.1%,44.3%,40.4%,41.9%,23.3%,24.1%,6.3%,3.90,8,75.5%,24.5%
125,1032174369,B. Johnston,Brodie Johnston,Johnston,Brodie,3B,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,56,240,934,54.1%,33.5%,66.5%,66.8%,31.5%,35.0%,41.9%,38.7%,27.6%,18.1%,3.89,11,76.2%,23.8%
126,1342167253,A. Ildefonso,Andrew Ildefonso,Ildefonso,Andrew,P,Florida International University,FIU,4468,Florida International,BBC,R,R,50,191,734,44.4%,23.6%,76.4%,61.2%,42.6%,33.7%,41.9%,29.7%,30.1%,10.5%,3.84,13,75.3%,24.7%
127,1311954432,W. Aloy,Wehiwa Aloy,Aloy,Wehiwa,SS,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,65,311,1327,42.8%,29.0%,71.0%,60.6%,36.1%,34.9%,41.9%,28.6%,31.1%,12.4%,4.27,10,75.1%,24.9%
128,1359638792,H. Porter,Hollis Porter,Porter,Hollis,1B,University of Maryland-College Park,MD,730172928,Maryland,BBC,L,R,55,255,991,50.8%,37.2%,62.8%,63.2%,30.4%,32.4%,41.9%,32.9%,25.2%,18.9%,3.89,11,77.1%,22.9%
129,1300448256,B. Miller,Ben Miller,Miller,Ben,3B,Duke University,DUKE,730336256,Duke,BBC,R,R,61,293,1118,49.0%,28.8%,71.2%,60.5%,34.9%,36.3%,41.9%,28.7%,22.5%,14.1%,3.82,9,75.7%,24.3%
130,1235305472,M. Williams,Max Williams,Williams,Max,CF,Florida State University,FSU,101,Florida State,BBC,L,L,57,261,893,54.1%,26.3%,73.7%,63.4%,40.0%,33.7%,41.9%,32.5%,19.8%,14.2%,3.42,9,76.7%,23.3%
131,1220401408,W. MacLean,Will MacLean,MacLean,Will,1B,Creighton University,CREI,730243840,Creighton,BBC,L,L,56,244,942,43.0%,22.5%,77.5%,58.6%,37.5%,40.0%,41.9%,25.9%,27.2%,9.7%,3.86,11,76.8%,23.2%
132,1648774913,A. Raymond,Andrew Raymond,Raymond,Andrew,C,George Mason University,GMU,730265088,George Mason,BBC,L,R,51,215,798,38.8%,14.2%,85.8%,54.9%,50.3%,35.5%,41.9%,19.5%,26.0%,5.5%,3.71,8,75.0%,25.0%
133,1161344768,R. Kim,Ryan Kim,Kim,Ryan,P,California Baptist University,CBU,5091,California Baptist,BBC,R,R,56,243,907,43.4%,27.2%,72.8%,60.5%,42.1%,30.7%,42.0%,25.8%,30.2%,11.8%,3.73,9,74.2%,25.8%
134,1130373888,J. Craig,Joey Craig,Craig,Joey,RF,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,49,191,741,40.6%,39.9%,60.1%,59.8%,29.9%,30.2%,42.0%,24.3%,32.3%,16.2%,3.88,10,73.3%,26.7%
135,1199226219,B. Leonard,Brayden Leonard,Leonard,Brayden,2B,Villanova University,VILL,730278400,Villanova,BBC,R,R,50,216,719,40.5%,17.9%,82.1%,60.1%,55.7%,26.5%,42.0%,24.3%,32.9%,7.2%,3.33,8,78.3%,21.7%
136,1202676992,T. Haskins,Trevor Haskins,Haskins,Trevor,3B,Stanford University,STAN,730251264,Stanford,BBC,R,R,51,244,824,54.4%,23.7%,76.3%,66.3%,43.3%,33.0%,42.0%,35.9%,26.1%,12.9%,3.38,15,77.2%,22.8%
137,1229118720,R. Lee,Ryan Lee,Lee,Ryan,1B,UC Davis,UCD,730153984,UC Davis,BBC,R,R,46,168,649,46.5%,29.5%,70.5%,63.8%,35.1%,35.4%,42.0%,31.1%,32.2%,13.7%,3.86,10,75.8%,24.2%
138,1237388544,P. Seals,Pierre Seals,Seals,Pierre,RF,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,45,172,727,41.5%,36.1%,63.9%,61.1%,30.8%,33.1%,42.0%,28.3%,33.4%,15.0%,4.23,9,76.3%,23.7%
139,1309347584,P. Berstein,Philip Berstein,Berstein,Philip,RF,University of Richmond,RICH,730171904,Richmond,BBC,L,R,43,198,783,37.0%,8.6%,91.4%,55.5%,50.0%,41.4%,42.0%,18.0%,28.5%,3.2%,3.95,9,78.9%,21.1%
140,1197550592,W. Parker,William Parker,Parker,William,P,Army West Point,ARMY,4744,Army,BBC,R,R,41,192,667,45.6%,28.9%,71.1%,61.1%,42.8%,28.3%,42.0%,28.6%,28.5%,13.2%,3.47,9,71.9%,28.1%
141,1195438080,D. Rutter,Drew Rutter,Rutter,Drew,1B,San Diego State University,SDSU,730218496,San Diego State,BBC,L,L,46,152,556,42.8%,24.4%,75.6%,62.4%,46.2%,29.4%,42.0%,29.7%,34.3%,10.4%,3.66,8,78.3%,21.7%
142,1166939904,M. Imhoff,Max Imhoff,Imhoff,Max,C,Yale University,YALE,730334464,Yale,BBC,R,R,40,160,636,40.9%,26.2%,73.8%,57.4%,35.4%,38.5%,42.0%,22.1%,27.9%,10.7%,3.98,9,74.4%,25.6%
143,1310619904,C. Priest,Collin Priest,Priest,Collin,1B,Clemson University,CLEM,730358784,Clemson,BBC,L,R,59,258,1048,35.4%,30.7%,69.3%,55.1%,37.5%,31.8%,42.0%,20.2%,30.4%,10.9%,4.06,8,76.5%,23.5%
144,1568958668,J. Nunnallee,James Nunnallee,Nunnallee,James,LF,University of Virginia,UVA,5415,Virginia,BBC,L,R,48,174,649,38.5%,9.2%,90.8%,56.9%,53.2%,37.6%,42.0%,22.0%,29.8%,3.5%,3.73,8,78.3%,21.7%
145,1094685440,D. Bishop,David Bishop,Bishop,David,1B,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,44,136,493,45.6%,26.7%,73.3%,61.8%,40.9%,32.4%,42.1%,29.5%,29.6%,12.2%,3.63,9,78.3%,21.7%
146,1616187675,T. Davis,Tague Davis,Davis,Tague,TWP,University of Louisville,LOU,5467,Louisville,BBC,L,L,64,264,1001,47.4%,31.0%,69.0%,60.1%,34.2%,34.8%,42.1%,28.2%,24.3%,14.7%,3.79,10,77.6%,22.4%
147,1960026247,J. French,Jacob French,French,Jacob,RF,University of California,CAL,730152448,California,BBC,L,R,53,218,651,58.7%,18.8%,81.2%,68.2%,46.6%,34.6%,42.1%,41.8%,23.0%,11.1%,2.99,9,77.6%,22.4%
148,1142738944,J. Walsh,Jacob Walsh,Walsh,Jacob,1B,University of Oregon,ORE,4807,Oregon,BBC,L,L,58,276,1071,46.3%,24.4%,75.6%,59.7%,36.9%,38.7%,42.1%,28.9%,24.9%,11.3%,3.88,10,75.1%,24.9%
149,1967439649,M. DAmato,Matt DAmato,DAmato,Matt,LF,Bryant University,BRY,730266880,Bryant,BBC,L,R,49,214,827,47.2%,25.6%,74.4%,58.7%,35.1%,39.2%,42.1%,26.7%,21.7%,12.1%,3.86,9,73.8%,26.2%
150,1086580736,E. Madrigal,Eddie Madrigal,Madrigal,Eddie,1B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,L,R,62,292,1009,46.1%,20.2%,79.8%,58.4%,45.6%,34.2%,42.1%,24.2%,22.8%,9.3%,3.46,12,74.9%,25.1%
151,1184274176,K. Garis,Keegan Garis,Garis,Keegan,LF,Indiana State University,INST,730350080,Indiana State,BBC,L,R,49,216,809,38.8%,21.3%,78.7%,58.4%,41.4%,37.3%,42.1%,23.4%,31.8%,8.3%,3.75,9,79.9%,20.1%
152,1297553152,W. Furniss,Will Furniss,Furniss,Will,1B,University of Mississippi,MISS,5322,Ole Miss,BBC,L,R,58,250,1009,40.0%,30.0%,70.0%,55.8%,37.1%,32.9%,42.1%,20.8%,26.3%,12.0%,4.04,10,78.4%,21.6%
153,1152865280,J. Mettam,Jared Mettam,Mettam,Jared,SS,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,54,233,806,46.7%,22.6%,77.4%,60.8%,41.8%,35.6%,42.1%,27.9%,26.5%,10.5%,3.46,9,74.5%,25.5%
154,1713280773,X. Perez,Xavier Perez,Perez,Xavier,RF,University of Houston,HOU,3030,Houston,BBC,R,R,52,222,880,52.0%,28.4%,71.6%,64.3%,32.1%,39.5%,42.1%,34.0%,25.6%,14.8%,3.96,11,77.3%,22.7%
155,1152912384,E. Hedges,Ethan Hedges,Hedges,Ethan,TWP,University of Southern California,USC,5047,USC,BBC,R,R,60,288,1132,41.3%,23.5%,76.5%,58.8%,39.7%,36.8%,42.1%,24.5%,29.8%,9.7%,3.93,9,77.2%,22.8%
156,1245915136,T. Minick,Tyler Minick,Minick,Tyler,3B,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,54,252,908,46.0%,22.2%,77.8%,59.3%,42.1%,35.6%,42.1%,25.4%,24.5%,10.2%,3.60,10,75.8%,24.2%
157,1320360704,D. Baker,Davis Baker,Baker,Davis,SS,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,L,41,201,771,45.9%,24.0%,76.0%,60.6%,41.5%,34.5%,42.2%,26.9%,27.1%,11.0%,3.84,10,75.5%,24.5%
158,1176216576,J. Lebron,Justin Lebron,Lebron,Justin,SS,University of Alabama,ALA,730206976,Alabama,BBC,R,R,59,281,1138,45.1%,29.6%,70.4%,60.4%,32.7%,37.6%,42.2%,26.5%,27.8%,13.4%,4.05,11,76.7%,23.3%
159,1297494272,R. Johnson,RJ Johnson Jr.,Johnson,Rj,LF,Rutgers University,RUTG,730229248,Rutgers,BBC,L,L,53,194,759,41.6%,26.3%,73.7%,58.4%,38.6%,35.1%,42.2%,24.8%,28.7%,10.9%,3.91,10,77.1%,22.9%
160,1255817728,A. Lazits,Anton Lazits,Lazits,Anton,RF,Columbia University,CLMB,730319104,Columbia,BBC,R,R,48,230,958,43.3%,21.0%,79.0%,60.4%,35.2%,43.9%,42.2%,28.9%,30.2%,9.1%,4.17,11,77.4%,22.6%
161,1774004064,A. Martin,A.J. Martin,Martin,A.J.,2B,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,52,249,875,45.3%,18.4%,81.6%,64.3%,46.2%,35.4%,42.2%,31.3%,34.7%,8.3%,3.51,9,71.4%,28.6%
162,1135888384,T. Howard,Tyler Howard,Howard,Tyler,RF,UC Davis,UCD,730153984,UC Davis,BBC,R,R,46,212,839,40.4%,23.6%,76.4%,61.1%,38.9%,37.5%,42.2%,27.4%,34.2%,9.5%,3.96,11,73.7%,26.3%
163,1164722176,B. West,Brylan West,West,Brylan,1B,Florida International University,FIU,4468,Florida International,BBC,R,R,56,266,913,39.6%,16.3%,83.7%,58.9%,53.6%,30.1%,42.2%,22.0%,31.9%,6.5%,3.43,8,73.4%,26.6%
164,1170584576,E. Leon,Eddie Leon,Leon,Eddie,3B,Marshall University,MRSH,730333696,Marshall,BBC,R,R,59,251,929,53.2%,30.2%,69.8%,66.5%,34.4%,35.4%,42.2%,34.0%,28.2%,16.0%,3.70,9,76.5%,23.5%
165,1260748800,B. Higdon,Ben Higdon,Higdon,Ben,LF,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,R,51,183,678,49.6%,28.3%,71.7%,63.1%,37.8%,33.9%,42.2%,34.2%,26.9%,14.0%,3.70,9,81.0%,19.0%
166,1105510913,D. Smaldino,Dominic Smaldino,Smaldino,Dominic,1B,University of California,CAL,730152448,California,BBC,R,R,55,235,957,43.6%,27.6%,72.4%,59.6%,38.6%,33.8%,42.2%,25.6%,28.3%,12.0%,4.07,9,76.9%,23.1%
167,1205058816,Z. Stewart,Zack Stewart,Stewart,Zack,RF,Missouri State University,MOSU,5382,Missouri State,BBC,L,R,51,213,852,45.7%,37.0%,63.0%,60.2%,30.8%,32.1%,42.2%,26.9%,25.2%,16.9%,4.00,10,77.4%,22.6%
168,1196851968,M. Houston,Marek Houston,Houston,Marek,SS,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,61,298,1230,37.0%,17.6%,82.4%,56.8%,44.4%,38.0%,42.2%,21.6%,31.5%,6.5%,4.13,11,75.8%,24.2%
169,1251446272,K. Hayes,Kyle Hayes,Hayes,Kyle,1B,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,51,213,825,38.8%,20.3%,79.7%,58.3%,45.3%,34.4%,42.2%,23.7%,31.8%,7.9%,3.87,9,78.4%,21.6%
170,1196785152,J. Torres,Jason Torres,Torres,Jason,3B,University of Alabama,ALA,730206976,Alabama,BBC,R,R,59,260,1064,42.0%,38.7%,61.3%,57.0%,28.9%,32.4%,42.3%,22.5%,25.9%,16.3%,4.09,9,77.0%,23.0%
171,1336566528,C. Krewson,Chase Krewson,Krewson,Chase,LF,University of Central Florida,UCF,730256640,Central Florida,BBC,L,L,45,170,620,43.4%,22.7%,77.3%,59.2%,42.4%,34.9%,42.3%,24.6%,27.9%,9.8%,3.65,8,75.8%,24.2%
172,1324040960,C. ONeal,Connor ONeal,ONeal,Connor,C,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,R,52,231,966,35.6%,26.5%,73.5%,54.1%,36.0%,37.5%,42.3%,15.0%,28.8%,9.4%,4.18,9,74.5%,25.5%
173,1310440960,J. Jaffe,Jordan Jaffe,Jaffe,Jordan,1B,University of Richmond,RICH,730171904,Richmond,BBC,R,R,52,252,890,43.1%,13.8%,86.2%,60.8%,50.0%,36.2%,42.3%,24.6%,29.7%,6.0%,3.53,13,74.8%,25.2%
174,1085410304,J. Toomey,Jack Toomey,Toomey,Jack,RF,Boston College,BC,227,Boston College,BBC,R,R,57,254,1064,42.2%,21.8%,78.2%,58.8%,36.1%,42.1%,42.3%,23.6%,28.8%,9.2%,4.19,10,76.3%,23.7%
175,1334313728,B. Atkinson,Bobby Atkinson,Atkinson,Bobby,LF,Bradley University,BRAD,730253312,Bradley,BBC,L,L,51,230,811,40.4%,13.1%,86.9%,58.5%,47.0%,39.9%,42.3%,22.3%,29.9%,5.3%,3.53,12,78.7%,21.3%
176,1281514496,P. Airhart,Parker Airhart,Airhart,Parker,C,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,44,160,577,48.2%,34.2%,65.8%,63.6%,36.3%,29.5%,42.3%,32.0%,29.8%,16.5%,3.61,8,74.0%,26.0%
177,1085384704,D. Patrizi,Dom Patrizi,Patrizi,Dom,SS,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,49,206,819,37.5%,19.5%,80.5%,56.0%,39.7%,40.7%,42.3%,16.2%,29.7%,7.3%,3.98,9,75.6%,24.4%
178,1304692992,M. Knight,Max Knight,Knight,Max,TWP,Missouri State University,MOSU,5382,Missouri State,BBC,L,L,54,214,899,40.7%,31.1%,68.9%,59.4%,34.4%,34.4%,42.3%,23.7%,30.1%,12.7%,4.20,10,80.0%,20.0%
179,1226692352,D. Obee,Devin Obee,Obee,Devin,CF,University of Georgia,UGA,226,Georgia,BBC,R,R,57,189,771,39.6%,40.0%,60.0%,54.6%,31.8%,28.2%,42.3%,18.7%,24.9%,15.8%,4.08,9,74.0%,26.0%
180,1243383808,J. Chirello,Jackson Chirello,Chirello,Jackson,RF,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,L,R,44,193,846,39.8%,32.6%,67.4%,57.4%,29.4%,38.0%,42.3%,22.7%,29.3%,13.0%,4.38,12,77.6%,22.4%
181,1310459904,J. Williams,Jae Williams,Williams,Jae,CF,Georgia State University,GAST,730239744,Georgia State,BBC,L,R,55,206,807,36.6%,21.4%,78.6%,54.4%,45.8%,32.9%,42.3%,17.5%,28.1%,7.8%,3.92,8,78.5%,21.5%
182,1136711424,S. Busch,Sam Busch,Busch,Sam,1B,Michigan State University,MSU,1551,Michigan State,BBC,L,L,54,227,914,42.7%,18.5%,81.5%,59.6%,41.0%,40.5%,42.3%,26.2%,29.6%,7.9%,4.03,9,74.3%,25.7%
183,1083259648,B. Ankeney,Beau Ankeney,Ankeney,Beau,1B,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,57,274,1054,43.5%,26.1%,73.9%,60.9%,39.0%,34.9%,42.3%,26.2%,30.2%,11.4%,3.85,9,74.4%,25.6%
184,1143041024,V. Fattore,Vincent Fattore,Fattore,Vincent,RF,Elon University,ELON,730252544,Elon,BBC,R,R,51,196,728,40.8%,29.0%,71.0%,59.1%,39.4%,31.6%,42.3%,25.6%,30.9%,11.8%,3.71,8,77.7%,22.3%
185,1141430784,M. Brooks,Michael Brooks,Brooks,Michael,3B,University of Kansas,KU,730360064,Kansas,BBC,R,R,60,272,1060,37.9%,21.1%,78.9%,54.2%,42.8%,36.1%,42.3%,20.5%,26.1%,8.0%,3.90,10,73.6%,26.4%
186,1178073344,A. Taurek,Aiden Taurek,Taurek,Aiden,LF,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,61,273,944,47.0%,15.1%,84.9%,61.8%,47.5%,37.4%,42.3%,23.4%,27.8%,7.1%,3.46,9,74.8%,25.2%
187,1207773440,G. Jay,Grant Jay,Jay,Grant,C,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,59,277,1051,46.7%,34.0%,66.0%,59.2%,31.2%,34.8%,42.4%,26.7%,23.4%,15.9%,3.79,9,76.3%,23.7%
188,1021136352,H. Denny,Hogan Denny,Denny,Hogan,RF,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,50,169,643,38.3%,23.6%,76.4%,56.1%,43.5%,32.9%,42.4%,21.9%,29.0%,9.0%,3.80,9,71.6%,28.4%
189,1094668288,B. Hurdsman,Bryker Hurdsman,Hurdsman,Bryker,RF,Brigham Young University,BYU,730257152,BYU,BBC,R,R,51,226,819,50.5%,32.4%,67.6%,64.1%,32.4%,35.3%,42.4%,32.3%,27.4%,16.4%,3.62,8,74.3%,25.7%
190,1239328512,W. Gasparino,Will Gasparin,Gasparino,Will,CF,University of Texas,TEX,245,Texas,BBC,R,R,58,244,979,44.1%,28.5%,71.5%,61.8%,34.5%,37.0%,42.4%,31.3%,31.6%,12.6%,4.01,9,78.1%,21.9%
191,1825132008,B. Brown,Blaine Brown,Brown,Blaine,TWP,Rice University,RICE,2352,Rice,BBC,L,L,54,235,838,49.4%,22.0%,78.0%,62.9%,41.1%,37.0%,42.4%,31.2%,26.7%,10.9%,3.57,10,76.5%,23.5%
192,1273292544,A. Sundean,Andrew Sundean,Sundean,Andrew,C,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,46,171,630,51.6%,18.2%,81.8%,63.1%,37.8%,44.0%,42.4%,34.3%,23.3%,9.4%,3.68,9,76.9%,23.1%
193,1207744768,B. Holt,Brennan Holt,Holt,Brennan,CF,University of South Alabama,USA,730298880,South Alabama,BBC,L,R,45,208,896,38.1%,22.3%,77.7%,56.0%,36.4%,41.3%,42.4%,18.3%,29.0%,8.5%,4.31,11,79.4%,20.6%
194,1006020866,A. Phillips,Austin Phillips,Phillips,Austin,SS,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,48,193,707,47.5%,23.5%,76.5%,64.0%,39.0%,37.5%,42.4%,30.0%,31.2%,11.2%,3.66,9,77.0%,23.0%
195,1187810560,J. Ybarra,Jeter Ybarra,Ybarra,Jeter,1B,University of Michigan,MICH,2290,Michigan,BBC,L,R,56,234,795,43.0%,15.8%,84.2%,60.6%,51.2%,33.0%,42.4%,25.0%,30.9%,6.8%,3.40,9,78.8%,21.2%
196,1204041728,S. Alford,Slate Alford,Alford,Slate,3B,University of Georgia,UGA,226,Georgia,BBC,R,R,60,293,1149,46.2%,25.4%,74.6%,58.7%,36.5%,38.0%,42.4%,25.5%,23.1%,11.7%,3.92,10,75.9%,24.1%
197,1207476224,J. Sweeney,Johnny Sweeney,Sweeney,Johnny,1B,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,R,57,260,1023,36.6%,22.5%,77.5%,55.5%,40.4%,37.2%,42.4%,21.3%,29.8%,8.2%,3.93,11,76.8%,23.2%
198,1287378688,E. Murdoch,Ethan Murdoch,Murdoch,Ethan,RF,Marshall University,MRSH,730333696,Marshall,BBC,R,R,58,247,953,43.9%,27.8%,72.2%,60.5%,35.4%,36.8%,42.4%,25.1%,29.7%,12.2%,3.86,9,76.5%,23.5%
199,1142570752,E. King Jr.,Eddie King Jr.,King Jr.,Eddie,RF,University of Louisville,LOU,5467,Louisville,BBC,R,R,55,224,877,48.0%,29.7%,70.3%,61.0%,37.5%,32.8%,42.4%,28.8%,24.8%,14.3%,3.92,10,78.1%,21.9%
200,1269401344,J. Dilley,Jacob Dilley,Dilley,Jacob,C,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,42,181,685,43.1%,15.9%,84.1%,61.7%,44.7%,39.3%,42.5%,27.0%,32.6%,6.9%,3.78,9,76.2%,23.8%
201,1279825152,J. Power,Jack Power,Power,Jack,1B,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,L,R,58,268,989,33.1%,17.1%,82.9%,54.8%,51.7%,31.2%,42.5%,16.0%,31.9%,5.7%,3.69,8,75.0%,25.0%
