Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,BF,ERA,FIP,xFIP,WHIP,BA,OBP,SLG,OPS,K%,BB%,HR%,BABIP,OutRate,wOBA,LOB%
,1667683494,X. Melendez,Xavier Melendez,Melendez,Xavier,1B,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1869825908,C. Dodson,Cade Dodson,Dodson,Cade,2B,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1328897569,T. Kiel II,Terrence Kiel II,Kiel II,Terrence,RF,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1739966108,J. Alford,Jackson Alford,Alford,Jackson,LF,Elon University,ELON,730252544,Elon,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1410969802,F. Forgione,Freddy Forgione,Forgione,Freddy,1B,Binghamton University,BING,730155776,Binghamton,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1496512618,C. DeFury,Coy DeFury,DeFury,Coy,1B,Texas State University,TXST,5420,Texas State,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1640962282,T. Rucker,Trent Rucker,Rucker,Trent,LF,Texas State University,TXST,5420,Texas State,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1682487759,M. Bolton,Matt Bolton,Bolton,Matt,CF,Binghamton University,BING,730155776,Binghamton,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1813762462,S. Miller,Sam Miller,Miller,Sam,RF,Binghamton University,BING,730155776,Binghamton,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1919727431,Z. Gingrich,Zachary Gingrich,Gingrich,Zachary,LF,Texas State University,TXST,5420,Texas State,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1258560319,S. Smith,Sawyer Smith,Smith,Sawyer,SS,University of Kansas,KU,730360064,Kansas,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1325859990,D. Osoria,Dariel Osoria,Osoria,Dariel,2B,University of Kansas,KU,730360064,Kansas,BBC,R,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
,1415436665,K. Ashton,Kaiden Ashton,Ashton,Kaiden,LF,University of Kansas,KU,730360064,Kansas,BBC,L,R,0,0,0,-,3.18,3.18,-,-,-,-,-,-,-,-,-,100.0%,-,-
